date,min,max,median,q1,q3,stdev,count
2022-05-15T00:00:00.000Z,0.38,3.03,0.6,0.5,0.7,0.201,424
2022-05-16T00:00:00.000Z,0.52,1.58,0.9,0.7,1.09,0.226,428
2022-05-17T00:00:00.000Z,1.1,7.93,1.5,1.4,1.7,0.419,543
2022-05-18T00:00:00.000Z,0.98,3.05,1.53,1.3,2.1,0.481,520
2022-05-19T00:00:00.000Z,1.12,5.63,3.1,2.38,3.7,1.008,525
2022-05-20T00:00:00.000Z,1.5,9.05,3.5,2.93,4.7,1.316,507
2022-05-21T00:00:00.000Z,1.45,4.7,2.6,2.04,3.2,0.714,525
2022-05-22T00:00:00.000Z,1.5,5.18,2.94,2.1,3.63,0.849,518
2022-05-23T00:00:00.000Z,1.3,7.2,2.9,2.04,4.68,1.495,519
2022-05-24T00:00:00.000Z,1.6,8.94,3.2,2.42,3.9,1.603,481
2022-05-25T00:00:00.000Z,0.7,14.2,1.4,1.1,3.45,3.044,419
2022-05-26T00:00:00.000Z,0.5,3.2,1.2,1,1.9,0.604,439
2022-05-27T00:00:00.000Z,0.43,1.87,0.7,0.6,1,0.322,489
2022-05-28T00:00:00.000Z,0.47,3.28,0.9,0.73,1,0.336,495
2022-05-29T00:00:00.000Z,0.3,2.02,0.6,0.4,0.77,0.287,453
2022-05-30T00:00:00.000Z,0.82,22.27,1.4,1.24,2.13,1.291,445
2022-05-31T00:00:00.000Z,1.1,12.93,2.29,1.8,2.63,0.941,443
2022-06-01T00:00:00.000Z,1.1,9.9,2.73,1.77,4.15,1.954,498
2022-06-02T00:00:00.000Z,1.25,6.63,2.2,1.7,3,0.996,132
2022-06-03T00:00:00.000Z,1.4,14.13,3.21,2.45,5.82,3.012,306
2022-06-04T00:00:00.000Z,0.45,5.97,1.94,1.1,3.17,1.369,400
2022-06-05T00:00:00.000Z,1.4,5.68,2.4,1.92,3.32,1.145,420
2022-06-06T00:00:00.000Z,0.7,4.45,2.33,1.32,3.2,1.012,344
2022-06-07T00:00:00.000Z,1.7,11.17,3.05,2.7,3.72,1.607,501
2022-06-08T00:00:00.000Z,0.9,15.8,3.28,2,11,4.631,508
2022-06-09T00:00:00.000Z,1.55,5.53,3.22,2.29,4.03,0.952,450
2022-06-10T00:00:00.000Z,1.5,9.48,3.83,2.2,5.49,2.1,464
2022-06-11T00:00:00.000Z,2.4,8.52,4.18,3.38,5.13,1.326,455
2022-06-12T00:00:00.000Z,1.12,6.75,4.09,2.71,5,1.267,492
2022-06-13T00:00:00.000Z,0.5,6.07,1.2,0.84,2.46,1.497,457
2022-06-14T00:00:00.000Z,0.47,1.9,1.08,0.75,1.27,0.307,384
2022-06-15T00:00:00.000Z,0.7,3.57,1.7,1.3,2.2,0.652,488
2022-06-16T00:00:00.000Z,0.56,4.25,1.2,1,2.06,0.895,488
2022-06-17T00:00:00.000Z,0.5,5.95,1.88,1.2,3.17,1.28,430
2022-06-18T00:00:00.000Z,0.9,34.29,3.05,1.77,16.25,9.546,507
2022-06-19T00:00:00.000Z,0.5,3.7,1.2,0.8,1.7,0.77,418
2022-06-20T00:00:00.000Z,1,84.9,2.13,1.5,2.8,5.216,380
2022-06-21T00:00:00.000Z,0.8,13.95,2.8,1.32,4.01,1.647,352
2022-06-22T00:00:00.000Z,0.98,7.55,3.58,2.17,5.4,1.824,348
2022-06-23T00:00:00.000Z,1.5,7.18,3.07,2,5.19,1.699,320
2022-06-24T00:00:00.000Z,1,11.9,2.29,1.8,4.71,2.651,560
2022-06-25T00:00:00.000Z,2.35,9.94,3.45,3.05,5.57,1.825,575
2022-06-26T00:00:00.000Z,2.22,14.8,3.85,3.25,5.05,1.161,532
2022-06-27T00:00:00.000Z,3.1,9.57,5.15,4.22,6.85,1.656,531
2022-06-28T00:00:00.000Z,1.3,80.9,6.35,4.13,10.1,6.258,546
2022-06-29T00:00:00.000Z,1,17.92,2.4,1.6,3.3,2.459,451
2022-06-30T00:00:00.000Z,2.92,29.8,11.5,6.99,14.76,5.572,521
2022-07-01T00:00:00.000Z,6.28,33.38,10.07,8.4,22.15,7.517,450
2022-07-02T00:00:00.000Z,0.6,23.9,1.7,1.35,3.72,5.146,536
2022-07-03T00:00:00.000Z,0.95,8.13,2.8,1.6,3.5,1.534,476
2022-07-04T00:00:00.000Z,0.5,14.13,1.3,0.9,8,4.244,538
2022-07-05T00:00:00.000Z,0.52,3,1.33,1,1.93,0.54,511
